x1,x2,class
6.813681042361334483e-02,3.767452484292689086e+00,0.000000000000000000e+00
1.678059887619243462e-01,4.210316664308856538e+00,0.000000000000000000e+00
-4.362647308324104634e-01,3.708823810374870078e+00,0.000000000000000000e+00
2.858598317530295155e-02,3.929286006613899485e+00,0.000000000000000000e+00
-3.756853028027046064e-03,3.809253579015206892e+00,0.000000000000000000e+00
1.966393651068935877e-01,4.173919563997025683e+00,0.000000000000000000e+00
1.476491283486086603e-02,4.252058796581943412e+00,0.000000000000000000e+00
1.045382669391788505e-01,3.807856364043986641e+00,0.000000000000000000e+00
8.245518199648148305e-02,3.785587332210456069e+00,0.000000000000000000e+00
1.964274588578233671e-01,3.988836226919613370e+00,0.000000000000000000e+00
-4.133648113684815911e-02,3.847739525082482626e+00,0.000000000000000000e+00
2.733685538578723984e-01,3.965446157356632195e+00,0.000000000000000000e+00
-9.577701270111486920e-02,3.921260544394996383e+00,0.000000000000000000e+00
1.190279523944836743e-01,4.081715776989188527e+00,0.000000000000000000e+00
9.228981760596480233e-02,4.096334504886026906e+00,0.000000000000000000e+00
4.788869619395689226e-01,3.909122839628730972e+00,0.000000000000000000e+00
-1.145409563183965168e-01,3.818034886140228235e+00,0.000000000000000000e+00
1.377371861619876847e-01,4.252445879123770922e+00,0.000000000000000000e+00
-2.547942611795794149e-02,3.812135300577505159e+00,0.000000000000000000e+00
-1.843596044457277983e-01,4.145476969924712485e+00,0.000000000000000000e+00
1.661966851371163567e-01,4.121452986619957848e+00,0.000000000000000000e+00
-1.488124945183507686e-01,4.051912850012347356e+00,0.000000000000000000e+00
2.609174012482346275e-02,4.048900256819011112e+00,0.000000000000000000e+00
1.948573985041722190e-01,4.049997484652656077e+00,0.000000000000000000e+00
1.518096877875347861e-01,4.015111139323334299e+00,0.000000000000000000e+00
6.464906290846682280e-02,4.141160338637021709e+00,0.000000000000000000e+00
-3.258299467006707806e-01,3.928519342977502937e+00,0.000000000000000000e+00
-1.051785229755698992e-01,3.857142570200909226e+00,0.000000000000000000e+00
-6.152367772251897404e-02,4.334279039429278058e+00,0.000000000000000000e+00
-1.936057231724576666e-01,4.216513622200819711e+00,0.000000000000000000e+00
-3.763011206612485449e-01,-7.488256916952479303e-02,0.000000000000000000e+00
3.639269171212414222e-02,1.310832982847752459e-01,0.000000000000000000e+00
1.590350979821502087e-01,1.773978347668546673e-01,0.000000000000000000e+00
-7.797729670060318807e-02,-1.033850037916860809e-01,0.000000000000000000e+00
1.918492393546283592e-01,-4.277694748249952911e-02,0.000000000000000000e+00
-2.852521336950369912e-01,-2.534107248543134294e-01,0.000000000000000000e+00
-2.055957813567181325e-01,1.111685219448590722e-01,0.000000000000000000e+00
3.184736275992276766e-02,1.543972189163540787e-01,0.000000000000000000e+00
-9.553659607751670280e-02,3.545055263793498584e-02,0.000000000000000000e+00
1.398862646981839375e-01,-6.917198914187917824e-02,0.000000000000000000e+00
1.021380481616986913e-01,-1.480111400295551771e-01,0.000000000000000000e+00
-8.118130804122790367e-02,-8.535918805678728571e-02,0.000000000000000000e+00
-2.673978737726349086e-01,1.088903570208271110e-01,0.000000000000000000e+00
-1.049615541490772908e-01,2.793769879406227726e-03,0.000000000000000000e+00
1.074982209269517014e-01,9.984740636758795973e-02,0.000000000000000000e+00
1.487846334879255328e-01,-2.202202381600737099e-02,0.000000000000000000e+00
-9.465238004916456949e-02,-1.782553386313734042e-02,0.000000000000000000e+00
-3.772994495106284374e-01,-3.235841859425812594e-01,0.000000000000000000e+00
-2.957646247037064025e-01,-2.229911696862926784e-01,0.000000000000000000e+00
8.939223466060172707e-02,-2.024712719987391274e-01,0.000000000000000000e+00
-8.455971773770130928e-02,2.905162792140981720e-01,0.000000000000000000e+00
-7.966304572273662232e-02,1.649134945556805787e-01,0.000000000000000000e+00
-2.087632597497731390e-01,-4.593723445235674274e-02,0.000000000000000000e+00
-2.124313894904097388e-01,-7.581010043345033644e-02,0.000000000000000000e+00
1.878986117400973654e-01,-3.862405885181796061e-01,0.000000000000000000e+00
9.714007980016747812e-02,5.315929674868308946e-02,0.000000000000000000e+00
-1.328559689766520557e-01,-3.233483661810077070e-01,0.000000000000000000e+00
1.612864824318076956e-02,-1.183981691057181262e-01,0.000000000000000000e+00
5.202798253362264647e-02,4.886288284463600161e-03,0.000000000000000000e+00
3.581686485917814911e-01,-5.352154538267984984e-02,0.000000000000000000e+00
3.771139003169691861e+00,4.008725064717604675e-02,0.000000000000000000e+00
4.049192754018540619e+00,3.039235812410726045e-01,0.000000000000000000e+00
4.186736551463954292e+00,7.979879474606511869e-02,0.000000000000000000e+00
4.327204473643892157e+00,-2.658154998606169772e-01,0.000000000000000000e+00
3.856947208406188210e+00,-2.071886791298615804e-01,0.000000000000000000e+00
3.912835878184789173e+00,-3.078363809618212543e-01,0.000000000000000000e+00
4.142024069305036527e+00,-4.969050568562025788e-02,0.000000000000000000e+00
3.671117714375748076e+00,-2.270903862106842253e-01,0.000000000000000000e+00
4.070103827478613212e+00,1.874107979560429016e-01,0.000000000000000000e+00
4.446482600659660278e+00,6.515594551077559249e-01,0.000000000000000000e+00
4.092664766332228865e+00,-2.212674502718594560e-01,0.000000000000000000e+00
3.523259958510919443e+00,5.986210281566919922e-02,0.000000000000000000e+00
3.818220844918297718e+00,-9.287670687098428801e-02,0.000000000000000000e+00
3.863130994849223843e+00,-3.148179926394892303e-02,0.000000000000000000e+00
4.238360425871208648e+00,3.511712725767510840e-02,0.000000000000000000e+00
3.964528172078189083e+00,-2.315792192471279598e-01,0.000000000000000000e+00
3.625529509488153668e+00,-1.087417542683754568e-01,0.000000000000000000e+00
3.987973856036689746e+00,3.953211466219946901e-01,0.000000000000000000e+00
4.029130268574962592e+00,2.197472350822460563e-01,0.000000000000000000e+00
3.888354110080001202e+00,-2.649614811223099387e-01,0.000000000000000000e+00
3.784193331342391442e+00,-1.621654779356593579e-01,0.000000000000000000e+00
4.475940300977581998e+00,-1.836676450558541451e-01,0.000000000000000000e+00
4.187491885795413538e+00,-2.019006548934649536e-01,0.000000000000000000e+00
4.208306058279109862e+00,8.607765282169274612e-02,0.000000000000000000e+00
3.964974701298385362e+00,-9.114777937344227532e-03,0.000000000000000000e+00
3.853585020218945445e+00,9.974477653869144589e-02,0.000000000000000000e+00
3.898262600931857502e+00,-2.740537801399115514e-01,0.000000000000000000e+00
3.714244471282014182e+00,3.859183161217998037e-02,0.000000000000000000e+00
4.353095539200928066e+00,3.577521237800859732e-02,0.000000000000000000e+00
3.973471663808151533e+00,6.391266778976305296e-02,0.000000000000000000e+00
4.319903787036783349e+00,4.053737518683687924e+00,1.000000000000000000e+00
3.899343796304246546e+00,4.270984284784852925e+00,1.000000000000000000e+00
4.105023449816396663e+00,4.376181854981198605e+00,1.000000000000000000e+00
4.044883087449970382e+00,3.700067566644498651e+00,1.000000000000000000e+00
3.664870807495329785e+00,4.404393103607469051e+00,1.000000000000000000e+00
4.422210150304565879e+00,3.956026952843176403e+00,1.000000000000000000e+00
3.906138658731283630e+00,4.357979280349630002e+00,1.000000000000000000e+00
3.728830295704206765e+00,3.780837534447673232e+00,1.000000000000000000e+00
